categoria,subcategoria,nombre,precio,url,tienda
Arcillas,Arcillas alta temperatura,"PA-CH3B Pasta Gres-Refractario Blanco 1-3 mm 12,5Kg",17.02,https://anper.net/productos/321/arcilla-alta-temperatura/pa-ch3b-pasta-gres-refractario-blanco-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3N Pasta Gres-Refractario Negro 1-3 mm 12,5Kg",16.87,https://anper.net/productos/322/arcilla-alta-temperatura/pa-ch3n-pasta-gres-refractario-negro-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3R Pasta Gres-Refractario Roja 1-3 mm 12,5Kg",17.17,https://anper.net/productos/323/arcilla-alta-temperatura/pa-ch3r-pasta-gres-refractario-roja-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CHN Pasta Gres-Refractario Negra 0-1 mm 12,5Kg",16.28,https://anper.net/productos/324/arcilla-alta-temperatura/pa-chn-pasta-gres-refractario-negra-0-1-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CHR Pasta Gres-Refractario Rojo 0-1mm 12,5Kg",14.95,https://anper.net/productos/319/arcilla-alta-temperatura/pa-chr-pasta-gres-refractario-rojo-0-1mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CT PASTA GRES-REFRACTARIO BEIGE 0-0,5MM 12,5Kg",13.03,https://anper.net/productos/640/arcilla-alta-temperatura/pa-ct-pasta-gres-refractario-beige-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CTR PASTA GRES-REFRACTARIO ROJO 0-0,5MM 12,5Kg",15.43,https://anper.net/productos/641/arcilla-alta-temperatura/pa-ctr-pasta-gres-refractario-rojo-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-NT Pasta Gres-Refractario Beige 0-0,2mm",15.18,https://anper.net/productos/315/arcilla-alta-temperatura/pa-nt-pasta-gres-refractario-beige-0-0-2mm-,Anper
Arcillas,Arcillas alta temperatura,"PA-NTN Pasta Gres-Refractario Negra 0-0,2mm 12,5Kg",17.17,https://anper.net/productos/317/arcilla-alta-temperatura/pa-ntn-pasta-gres-refractario-negra-0-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-NTR Pasta Gres-Refractario Roja 0-0,3mm 12,5Kg",16.66,https://anper.net/productos/316/arcilla-alta-temperatura/pa-ntr-pasta-gres-refractario-roja-0-0-3mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PRAF Pasta refractaria blanca 0-0,5 12,5Kg PA84PRAF",14.12,https://anper.net/productos/273/arcilla-alta-temperatura/praf-pasta-refractaria-blanca-0-0-5-12-5kg-pa84praf,Anper
Arcillas,Arcillas alta temperatura,"PRAI Pasta refractaria blanca 0-0,2 12,5Kg PA84PRAI",14.12,https://anper.net/productos/272/arcilla-alta-temperatura/prai-pasta-refractaria-blanca-0-0-2-12-5kg-pa84prai,Anper
Arcillas,Arcillas alta temperatura,"PRAM Pasta refractaria blanca 0-1,5 12,5Kg PA84PRAM",14.12,https://anper.net/productos/274/arcilla-alta-temperatura/pram-pasta-refractaria-blanca-0-2-12-5kg-pa84pram,Anper
Arcillas,Arcillas alta temperatura,"PRGF Pasta refractaria gris 0-0,5 12,5Kg PA84PRGF",13.32,https://anper.net/productos/277/arcilla-alta-temperatura/prgf-pasta-refractaria-gris-0-0-5-12-5kg-pa84prgf,Anper
Arcillas,Arcillas alta temperatura,"PRGI Pasta refractaria gris 0-0,2 12,5Kg PA84PRGI",13.32,https://anper.net/productos/278/arcilla-alta-temperatura/prgi-pasta-refractaria-gris-0-0-2-12-5kg-pa84prgi,Anper
Arcillas,Arcillas alta temperatura,"PRGM Pasta refractaria gris 0-1,5 12,5Kg PA84PRGM",13.32,https://anper.net/productos/279/arcilla-alta-temperatura/prgm-pasta-refractaria-gris-0-2-12-5kg-pa84prgm,Anper
Arcillas,Arcillas alta temperatura,"PRLF Pasta refractaria lila 0-0,5 12,5Kg PA84PRLF",13.25,https://anper.net/productos/280/arcilla-alta-temperatura/prlf-pasta-refractaria-lila-0-0-5-12-5kg-pa84prlf,Anper
Arcillas,Arcillas alta temperatura,"PRLM Pasta refractaria lila 0-1,5 12,5Kg PA84PRLM",13.25,https://anper.net/productos/281/arcilla-alta-temperatura/prlm-pasta-refractaria-lila-0-2-12-5kg-pa84prlm,Anper
Arcillas,Arcillas alta temperatura,"PRNF Pasta refractaria negra 0-0,5 12,5Kg PA84PRNF",14.85,https://anper.net/productos/282/arcilla-alta-temperatura/prnf-pasta-refractaria-negra-0-0-5-12-5kg-pa84prnf,Anper
Arcillas,Arcillas alta temperatura,"PRNI Pasta refractaria negra 0-0,2 12,5Kg PA84PRNI",14.85,https://anper.net/productos/283/arcilla-alta-temperatura/prni-pasta-refractaria-negra-0-0-2-12-5kg-pa84prni,Anper
Arcillas,Arcillas alta temperatura,"PRNM Pasta refractaria negra 0-1,5 12,5Kg PA84PRNM",14.85,https://anper.net/productos/284/arcilla-alta-temperatura/prnm-pasta-refractaria-negra-0-2-12-5kg-pa84prnm,Anper
Arcillas,Arcillas alta temperatura,TOFFEE refractaria caramelo 0-0.2mm 12.5kg PA84TOFFEE,14.76,https://anper.net/productos/1245/arcilla-alta-temperatura/toffee-refractaria-caramelo-0-0-2mm-12-5kg-pa84toffee,Anper
Arcillas,Arcillas alta temperatura,"ZUMAIA Pasta refractaria gris 0-0.5mm 12,5Kg PA84ZUMA",16.7,https://anper.net/productos/1052/arcilla-alta-temperatura/zumaia-pasta-refractaria-gris-0-0-5mm-12-5kg-pa84zuma,Anper
Arcillas,Arcillas alta temperatura,AF Roja Polvo 1Kg,2.35,https://anper.net/productos/259/arcilla-baja-temperatura/af-roja-polvo,Anper
Arcillas,Arcillas alta temperatura,AF Roja Polvo 25Kg,17.74,https://anper.net/productos/259/arcilla-baja-temperatura/af-roja-polvo,Anper
Arcillas,Arcillas alta temperatura,APACHE Pasta Micácea 12.5Kg PA84APACHE,13.03,https://anper.net/productos/260/arcilla-baja-temperatura/apache-pasta-micacea-12-5kg-pa84apache,Anper
Arcillas,Arcillas alta temperatura,"PA Pasta Blanca húmeda 12,5Kg PA84PA",9.58,https://anper.net/productos/1067/arcilla-baja-temperatura/pa-pasta-blanca-humeda-12-5kg-pa84pa,Anper
Arcillas,Arcillas alta temperatura,"PA/CHF Pasta Blanca húmeda 12,5Kg PA84PACHF.",11.29,https://anper.net/productos/1071/arcilla-baja-temperatura/pa-chf-pasta-blanca-humeda-12-5kg-pa84pachf-,Anper
Arcillas,Arcillas alta temperatura,PA000804 Pasta Europa para Colaje 1Kg,3.03,https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas alta temperatura,PA000804 Pasta Europa para Colaje 5Kg,10.89,https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas alta temperatura,PA000804 Pasta Europa para Colaje 25Kg,37.52,https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas alta temperatura,PA000818 Pasta Faenza húmeda 20Kg,20.78,https://anper.net/productos/250/arcilla-baja-temperatura/pa000818-pasta-faenza-humeda-20kg,Anper
Arcillas,Arcillas alta temperatura,PA84BIS15 Pasta húmeda Roja Bisbal 15Kg,6.05,https://anper.net/productos/261/arcilla-baja-temperatura/pa84bis15-pasta-humeda-roja-bisbal-15kg,Anper
Arcillas,Arcillas alta temperatura,PA84BIS15CH Pasta húmeda Roja Bisbal Chamotada 15Kg,7.41,https://anper.net/productos/262/arcilla-baja-temperatura/pa84bis15ch-pasta-humeda-roja-bisbal-chamotada-15kg,Anper
Arcillas,Arcillas alta temperatura,PA84BIS15MICA PASTA CERÁMICA GEBRADA (ESCARCHADA),8.4,https://anper.net/productos/1250/arcilla-baja-temperatura/pa84bis15mica-pasta-ceramica-gebrada-escarchada-,Anper
Arcillas,Arcillas alta temperatura,PA84BIS15N Pasta húmeda Negra Bisbal 15Kg,11.36,https://anper.net/productos/263/arcilla-baja-temperatura/pa84bis15n-pasta-humeda-negra-bisbal-15kg,Anper
Arcillas,Arcillas alta temperatura,"PF Pasta Húmeda Roja 12,5Kg PA84PF",6.05,https://anper.net/productos/257/arcilla-baja-temperatura/pf-pasta-humeda-roja-12-5kg-pa84pf,Anper
Arcillas,Arcillas alta temperatura,"PF/CHF Pasta Roja Húmeda Chamotada 12,5Kg PA84PFCHF",7.41,https://anper.net/productos/268/arcilla-baja-temperatura/pf-chf-pasta-roja-humeda-chamotada-12-5kg-pa84pfchf,Anper
Arcillas,Arcillas alta temperatura,"PF/CHM Pasta Roja Húmeda Chamotada media 12,5Kg PA84PFCHM",7.41,https://anper.net/productos/269/arcilla-baja-temperatura/pf-chm-pasta-roja-humeda-chamotada-media-12-5kg-pa84pfchm,Anper
Arcillas,Arcillas alta temperatura,PLA Pasta Azul húmeda 5Kg PA84PLA,18.55,https://anper.net/productos/1066/arcilla-baja-temperatura/pla-pasta-Azul-humeda-5kg-pa84pla,Anper
Arcillas,Arcillas alta temperatura,PLV Pasta Verde húmeda 5Kg PA84PLV,15.94,https://anper.net/productos/265/arcilla-baja-temperatura/plv-pasta-verde-humeda-5kg-pa84plv,Anper
Arcillas,Arcillas alta temperatura,"PM Pasta Negra Húmeda 12,5Kg PA84PME",11.36,https://anper.net/productos/271/arcilla-baja-temperatura/pm-pasta-negra-humeda-12-5kg-pa84pme,Anper
Arcillas,Arcillas alta temperatura,"PT Pasta Terracota Húmeda 12,5Kg PA84PT",6.85,https://anper.net/productos/285/arcilla-baja-temperatura/pt-pasta-terracota-humeda-12-5kg-pa84pt,Anper
